id,rtype,period,Vmag,Bmag,Imag,ra,dec,EBV,eEBV,note,FeH
2525,ab,0.61615,19.340,19.764,99.999,080.8849583,-70.6542611,0.0937753,0.0420372,,-2.06
2767,ab,0.53106,19.467,19.874,19.074,080.8237500,-70.6488611,0.0929669,0.0404204,,-1.37
3061,ab,0.47622,19.631,20.037,19.220,080.8547083,-70.6413722,0.0937753,0.0420372,Blazhko,-1.26
3805,ab,0.62740,19.402,19.866,18.850,081.0195417,-70.6217833,0.0897332,0.0412288,,-1.48
3948,ab,0.66656,19.292,19.686,18.628,080.6680833,-70.6213778,0.0905416,0.0424414,Blazhko?,-1.46
4313,ab,0.64222,19.270,19.779,18.451,080.3911667,-70.6146250,0.0929669,0.0408246,,-1.48
4933,ab,0.61350,19.103,19.531,18.542,080.6249583,-70.5982250,0.0889248,0.0408246,Blazhko?,-1.48
4974,ab,0.58069,19.384,19.809,18.778,080.7133750,-70.5965806,0.083266,0.041633,,-1.35
5167,ab,0.63023,19.359,19.837,18.808,080.4985417,-70.5930528,0.0864996,0.0355699,,-1.32
5331,ab,0.58234,19.673,20.079,19.103,080.8137500,-70.5873500,0.0897332,0.0383994,,-1.48
5452,ab,0.67849,19.296,19.799,99.999,080.9626250,-70.5836278,0.0848828,0.0420372,,-1.48
5589,ab,0.63648,19.574,20.079,18.942,080.5397500,-70.5840278,0.0864996,0.0367825,Blazhko?,-1.60
6398,ab,0.56026,19.317,19.745,18.730,080.6696250,-70.5639389,0.0848828,0.0400162,,-1.40
6426,ab,0.66224,19.185,19.584,18.555,080.6352917,-70.5635361,0.0848828,0.0400162,,-1.59
7247,ab,0.56171,19.408,19.795,18.857,080.8563750,-70.5426250,0.0735651,0.0424414,,-1.41
7325,ab,0.48677,19.435,19.845,18.893,080.9128333,-70.5402250,0.0735651,0.0440582,,-1.28
7468,ab,0.63550,19.615,20.126,18.850,080.6250000,-70.5390444,0.0897332,0.039612,,-1.41
7477,ab,0.65641,19.183,19.552,18.670,081.0121667,-70.5357222,0.083266,0.0424414,,-1.67
7609,ab,0.57336,19.313,19.699,99.999,080.9514167,-70.5334250,0.083266,0.0424414,,-1.58
8094,ab,0.74575,19.353,19.891,18.676,080.6791667,-70.5232500,0.0970089,0.0400162,,-1.83
8220,ab,0.67684,19.469,19.920,18.770,080.7199583,-70.5197528,0.0970089,0.0400162,,-1.03
8720,ab,0.65767,19.129,19.489,18.590,080.9589167,-70.5046472,0.087308,0.0375909,,-1.76
8788,ab,0.55960,19.444,19.844,99.999,080.8431250,-70.5040667,0.0905416,0.0383994,Blazhko,-1.55
9154,ab,0.61981,19.552,20.032,18.931,080.7620000,-70.4957306,0.0953921,0.041633,Blazhko,-1.66
9494,ab,0.57860,19.217,19.584,99.999,080.7050000,-70.4870833,0.101051,0.0388036,,-1.69
9660,ab,0.62181,19.392,19.862,18.795,080.7737917,-70.4824528,0.0905416,0.0383994,,-1.35
10214,ab,0.59994,19.204,19.639,99.999,080.3795833,-70.4700028,0.103476,0.0335489,,-1.48
10487,ab,0.58957,19.569,20.022,18.886,080.6022917,-70.4612556,0.107518,0.0420372,,-1.52
12896,ab,0.57368,19.589,20.027,18.955,080.6920417,-70.6485972,0.0921584,0.0424414,,-1.53
15371,ab,0.58712,19.460,19.874,18.557,080.6731667,-70.6186500,0.0905416,0.0424414,,-1.48
15387,ab,0.55983,19.612,20.043,99.999,080.3765833,-70.6198056,0.0970089,0.0400162,,-1.81
16249,ab,0.60475,19.378,19.759,18.844,080.5342500,-70.6086111,0.0889248,0.0412288,Blazhko,-1.86
18314,ab,0.58711,19.410,19.790,18.815,080.7045000,-70.5830889,0.083266,0.041633,,-1.71
19450,ab,0.39792,19.662,19.983,19.286,080.9078750,-70.5685306,0.0848828,0.0420372,,-0.90
19711,ab,0.55296,19.200,19.535,18.607,080.6589167,-70.5672278,0.0848828,0.0400162,,-1.68
21007,ab,0.75730,19.319,19.841,18.487,080.5785417,-70.5530111,0.0816492,0.0371867,,-1.48
25301,ab,0.56059,19.766,20.237,99.999,080.3914583,-70.5067972,0.10671,0.0295069,,-1.40
25362,ab,0.57746,19.443,19.816,18.764,080.9103333,-70.5023750,0.087308,0.0375909,,-1.49
25510,ab,0.64956,19.150,19.614,18.554,080.5557083,-70.5031944,0.0978173,0.0379951,Blazhko?,-1.63
26525,ab,0.52288,19.473,19.913,99.999,080.4685417,-70.4913000,0.112369,0.0303153,,-1.63
26821,ab,0.58755,19.624,20.097,19.097,080.4745833,-70.4881861,0.109943,0.0379951,,-1.37
26933,ab,0.48829,19.295,19.577,18.750,080.9740833,-70.4832528,0.0921584,0.0420372,,-1.34
28246,ab,0.47777,19.605,20.030,19.144,080.5610417,-70.4685306,0.107518,0.0420372,,-1.48
28293,ab,0.66148,19.520,20.053,99.999,080.4420000,-70.4703333,0.105901,0.0392078,(g),-1.74
28539,ab,0.61388,19.533,19.916,18.796,080.9822083,-70.4635028,0.0921584,0.0420372,,-1.48
1408,ab,0.62600,19.343,19.772,18.777,079.3074583,-71.1019194,0.083266,0.0327405,,-1.70
1575,ab,0.67389,19.250,19.666,18.690,079.1302917,-71.0968028,0.0767987,0.0400162,,-1.61
1907,ab,0.58048,19.287,19.724,18.726,079.5512500,-71.0831917,0.0792239,0.0299111,,-1.52
2249,ab,0.61044,19.346,19.775,18.689,079.3042083,-71.0741944,0.0743735,0.0375909,,-1.56
