# ID    Field   B-V     P       [Fe/H]  E(B-V)
2525    A       0.535   0.6161  -2.06    0.169
2767    A       0.528   0.5311  -1.37    0.144
3061    A       0.496   0.4762  -1.26    0.119
3948    A       0.564   0.6666  -1.46    0.153
4933    A       0.559   0.6135  -1.48    0.162
4974    A       0.513   0.5807  -1.35    0.116
5589    A       0.555   0.6365  -1.60    0.159
6398    A       0.532   0.5603  -1.40    0.143
6426    A       0.540   0.6622  -1.59    0.137
7247    A       0.478   0.5617  -1.41    0.088
7325    A       0.490   0.4868  -1.28    0.112
7468    A       0.584   0.6355  -1.41    0.177
7477    A       0.527   0.6564  -1.67    0.130
7609    A       0.511   0.5734  -1.58    0.129
7734    A       0.538   0.6170  -1.39    0.135
8094    A       0.595   0.7457  -1.83    0.186
8720    A       0.479   0.6577  -1.76    0.087
8788    A       0.516   0.5596  -1.55    0.135
9154    A       0.508   0.6198  -1.66    0.119
9245    A       0.448   0.5598  -1.42    0.060
9494    A       0.518   0.5786  -1.69    0.141
10214   A       0.500   0.5999  -1.48    0.106
10487   A       0.531   0.5896  -1.52    0.142
12896   A       0.574   0.5737  -1.53    0.189
15387   A       0.512   0.5598  -1.81    0.146
16249   A       0.480   0.6048  -1.86    0.106
18314   A       0.526   0.5871  -1.71    0.148
19450   A       0.537   0.3979  -0.90    0.159
19711   A       0.361   0.5530  -1.68    0.010
25301   A       0.576   0.5606  -1.40    0.187
25362   A       0.509   0.5775  -1.49    0.121
25510   A       0.525   0.6496  -1.63    0.127
26525   A       0.601   0.5229  -1.63    0.234
26821   A       0.554   0.5875  -1.37    0.157
26933   A       0.456   0.4883  -1.34    0.081
28293   A       0.483   0.6615  -1.74    0.089
1408    B       0.453   0.6260  -1.70    0.065
1575    B       0.541   0.6739  -1.61    0.136
1907    B       0.524   0.5805  -1.52    0.137
2249    B       0.526   0.6104  -1.56    0.134
2884    B       0.515   0.6194  -1.90    0.140
3400    B       0.504   0.4862  -1.45    0.136
4780    B       0.576   0.6176  -1.20    0.162
4859    B       0.486   0.5234  -1.44    0.108
5902    B       0.459   0.5698  -2.12    0.108
6440    B       0.407   0.4948  -1.19    0.032
6798    B       0.498   0.5841  -1.20    0.092
7063    B       0.516   0.6543  -1.49    0.109
7442    B       0.519   0.5780  -1.58    0.136
7620    B       0.480   0.6562  -2.05    0.104
10811   B       0.500   0.4764  -1.42    0.132
14449   B       0.523   0.5841  -1.70    0.145
19037   B       0.505   0.4113  -1.26    0.144
22917   B       0.485   0.5647  -1.34    0.092
23502   B       0.525   0.4722  -1.43    0.159
24089   B       0.474   0.5598  -1.31    0.080
5167    A       0.514   0.6302  -1.32    0.115
8220    A       0.562   0.6768  -1.03    0.140
9660    A       0.496   0.6218  -1.35    0.100
3054    B       0.433   0.5080  -0.94    0.048
3412    B       0.522   0.5302  -1.62    0.158
4540    B       0.472   0.5689  -1.40    0.091
