#        1          2            3       4       5         6         7         8          9        10
#       RA         Dec        E(V-I)  -sigma  +sigma    (V-I)_RC  (V-I)_0  E(V-I)peak E(V-I)_SFD   box
#      [hr]       [deg]       median  [-34%]  [+34%]     median    [mag]      mode      [mag]    [arcmin]
    5.663525   -68.620354     0.168    0.052   0.063      1.055    0.887     0.158      0.736      3.4
    4.866824   -68.599136     0.128    0.046   0.057      1.010    0.882     0.127      0.357      3.4
    5.508868   -70.445297     0.083    0.053   0.052      0.970    0.887     0.092      0.251      3.4
    0.682615   -73.453972     0.043    0.049   0.040      0.911    0.868     0.060      0.112      3.4
    5.809916   -71.467979     0.144    0.049   0.062      1.028    0.884     0.153      0.177      3.4
    0.849292   -72.810234     0.101    0.077   0.090      0.977    0.876     0.102      0.876      3.4
    5.802142   -69.499786     0.251    0.090   0.095      1.137    0.886     0.257      1.187      3.4
    4.946526   -69.257607     0.092    0.039   0.044      0.976    0.883     0.100      0.513      3.4
    5.362252   -71.487808     0.097    0.046   0.061      0.982    0.885     0.095      0.309      3.4
    5.276080   -70.543190     0.064    0.059   0.051      0.950    0.886     0.068      0.212      3.4
    5.586190   -69.563927     0.144    0.079   0.090      1.032    0.888     0.145      2.200      3.4
    1.041478   -72.077339     0.048    0.060   0.063      0.915    0.867     0.049      0.629      3.4
    5.207834   -69.563637     0.160    0.089   0.090      1.046    0.886     0.177      1.323      3.4
    5.053195   -68.438583     0.099    0.054   0.059      0.983    0.884     0.102      0.709      3.4
    5.517279   -70.787766     0.067    0.044   0.045      0.953    0.887     0.071      0.287      3.4
    5.183435   -70.267113     0.125    0.076   0.107      1.011    0.886     0.100      0.514      3.4
    5.796928   -70.497269     0.171    0.072   0.106      1.056    0.885     0.154      0.678      3.4
    5.009184   -70.491066     0.080    0.042   0.032      0.964    0.884     0.085      0.119      3.4
    4.940726   -70.422134     0.139    0.060   0.077      1.023    0.883     0.129      0.246      3.4
    5.825661   -69.377365     0.229    0.086   0.112      1.114    0.886     0.231      0.561      3.4
    5.595611   -72.342735     0.138    0.050   0.051      1.021    0.883     0.138      0.164      3.4
    0.888465   -73.515633     0.055    0.061   0.057      0.923    0.868     0.067      0.299      3.4
    5.261096   -70.646980     0.089    0.055   0.042      0.975    0.886     0.107      0.240      3.4
    1.039022   -72.576073     0.078    0.055   0.050      0.948    0.870     0.083      0.202      3.4
    5.445954   -69.571991     0.066    0.062   0.058      0.955    0.889     0.077      0.257      3.4
    0.708663   -74.250687     0.055    0.039   0.038      0.915    0.860     0.057      0.066      3.4
    5.260281   -70.455338     0.089    0.050   0.049      0.975    0.886     0.092      0.209      3.4
    5.706672   -69.737030     0.124    0.058   0.073      1.011    0.887     0.130      1.614      3.4
    4.971273   -69.200905     0.105    0.056   0.069      0.988    0.884     0.106      0.665      3.4
    5.831140   -69.954041     0.139    0.056   0.063      1.024    0.885     0.143      0.702      3.4
    5.216813   -66.491577     0.126    0.082   0.059      1.009    0.882     0.137      0.195      3.4
    5.504932   -67.588707     0.097    0.063   0.084      0.982    0.885     0.079      0.489      3.4
    5.568337   -68.443817     0.116    0.067   0.089      1.003    0.887     0.124      0.995      3.4
    5.168265   -70.177444     0.076    0.049   0.048      0.962    0.886     0.076      0.398      3.4
    5.266600   -67.499893     0.137    0.052   0.044      1.022    0.884     0.152      0.433      3.4
    5.094964   -69.596893     0.095    0.054   0.052      0.980    0.885     0.098      0.203      3.4
    1.092769   -72.622787     0.096    0.052   0.046      0.962    0.867     0.105      0.198      3.4
    5.260365   -66.808975     0.093    0.052   0.036      0.976    0.883     0.105      0.209      3.4
    5.571044   -68.737602     0.164    0.066   0.075      1.052    0.887     0.156      1.332      3.4
    5.556214   -70.501892     0.066    0.048   0.048      0.953    0.887     0.072      0.258      3.4
    5.323896   -71.750610     0.087    0.048   0.055      0.971    0.884     0.094      0.169      3.4
    4.936493   -69.497993     0.143    0.076   0.071      1.026    0.883     0.145      0.590      3.4
    5.582182   -68.564972     0.075    0.048   0.034      0.962    0.887     0.080      0.530      3.4
    4.988273   -66.910469     0.064    0.050   0.051      0.945    0.881     0.064      0.181      3.4
    0.944838   -73.160477     0.052    0.055   0.046      0.923    0.871     0.063      0.173      3.4
    5.435191   -71.290215     0.136    0.069   0.090      1.021    0.886     0.105      0.423      3.4
    5.817426   -69.513283     0.241    0.092   0.086      1.126    0.886     0.246      0.714      3.4
    5.885983   -69.997742     0.085    0.052   0.062      0.970    0.885     0.087      0.152      3.4
    5.019026   -70.877045     0.104    0.048   0.040      0.987    0.884     0.113      0.105      3.4
    1.048671   -73.310371     0.066    0.053   0.039      0.931    0.865     0.082      0.138      3.4
    5.718640   -68.351357     0.122    0.056   0.056      1.008    0.886     0.128      0.453      3.4
    5.637764   -72.322044     0.123    0.044   0.044      1.007    0.883     0.130      0.153      3.4
    4.807741   -68.481163     0.124    0.055   0.078      1.006    0.882     0.104      0.336      3.4
    5.646810   -68.270866     0.122    0.046   0.064      1.008    0.886     0.105      0.330      3.4
    5.447329   -71.388855     0.084    0.040   0.035      0.969    0.885     0.090      0.647      3.4
    5.334362   -69.767365     0.079    0.071   0.086      0.966    0.888     0.076      1.276      3.4
    1.049360   -72.234451     0.040    0.049   0.057      0.908    0.868     0.037      0.279      3.4
    5.609312   -69.487511     0.154    0.069   0.067      1.042    0.888     0.162      1.215      3.4
    0.819618   -72.404434     0.052    0.057   0.051      0.923    0.871     0.058      0.233      3.4
    5.172312   -67.964531     0.106    0.046   0.053      0.991    0.885     0.103      0.507      3.4
    5.425910   -69.962357     0.095    0.083   0.085      0.983    0.888     0.103      0.791      3.4
    5.498559   -72.011444     0.111    0.038   0.050      0.995    0.884     0.117      0.142      3.4
    5.062594   -67.248772     0.105    0.063   0.071      0.988    0.883     0.115      0.774      3.4
    5.086233   -66.932312     0.083    0.050   0.065      0.966    0.882     0.093      0.568      3.4
    5.670598   -67.638092     0.136    0.061   0.068      1.021    0.885     0.127      0.376      3.4
    5.315340   -67.416245     0.099    0.049   0.053      0.984    0.885     0.109      0.264      3.4
    0.728232   -72.674103     0.061    0.039   0.030      0.931    0.869     0.072      0.115      3.4
    5.453039   -71.770889     0.102    0.059   0.068      0.987    0.885     0.096      0.297      3.4
    5.490313   -69.069115     0.096    0.064   0.069      0.984    0.888     0.102      0.846      3.4
    5.295437   -68.481850     0.078    0.051   0.047      0.964    0.886     0.087      0.389      3.4
    5.683125   -72.117584     0.134    0.036   0.028      1.018    0.884     0.146      0.168      3.4
    5.369055   -69.209946     0.074    0.055   0.058      0.962    0.888     0.078      0.517      3.4
    4.907757   -66.894974     0.085    0.065   0.077      0.966    0.881     0.081      0.449      3.4
    5.076119   -68.506454     0.185    0.097   0.141      1.069    0.884     0.130      0.885      3.4
    0.618555   -73.751961     0.055    0.036   0.029      0.919    0.864     0.061      0.059      3.4
    5.880117   -70.196991     0.082    0.055   0.049      0.967    0.885     0.092      0.164      3.4
    5.595569   -69.161163     0.548    0.079   0.115      1.436    0.888     0.527      5.339      3.4
    5.141009   -68.718239     0.105    0.081   0.072      0.990    0.885     0.111      1.142      3.4
    0.899821   -72.789108     0.053    0.069   0.067      0.929    0.876     0.064      0.470      3.4
    4.921590   -70.928787     0.111    0.063   0.058      0.993    0.883     0.125      0.264      3.4
    5.245635   -68.141815     0.093    0.049   0.053      0.979    0.885     0.100      0.455      3.4
    5.190510   -68.169533     0.132    0.061   0.068      1.017    0.885     0.139      0.522      3.4
    5.231413   -71.914169     0.106    0.044   0.047      0.990    0.884     0.102      0.153      3.4
    5.470298   -68.269615     0.129    0.056   0.058      1.016    0.887     0.122      0.484      3.4
    5.037172   -67.410316     0.066    0.043   0.059      0.948    0.883     0.062      0.224      3.4
    5.520766   -69.171776     0.244    0.127   0.177      1.132    0.889     0.217      0.979      3.4
    5.640750   -69.007187     0.241    0.168   0.190      1.129    0.887     0.240     18.098      3.4
    5.029678   -69.125534     0.118    0.069   0.067      1.002    0.884     0.130      0.617      3.4
    4.933177   -70.624855     0.103    0.044   0.051      0.986    0.883     0.098      0.150      3.4
    5.108783   -70.608742     0.105    0.049   0.037      0.990    0.885     0.113      0.184      3.4
    4.998589   -67.759941     0.068    0.037   0.053      0.951    0.883     0.065      0.270      3.4
    5.546519   -69.121651     0.140    0.057   0.065      1.028    0.888     0.140      0.760      3.4
