object_id,period,type,band,mean_mag,err_mag,chi_squared,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
464344959,0.513359,RRab,g,19.137762,7.257127,298.735934,-1.510419,0.522416,0.072837,0.028832,18.397773,0.829093
464370365,0.584914,RRab,g,19.520210,0.167129,0.220631,-1.816104,0.418449,0.100910,0.030349,18.704342,0.906050
464452605,0.626622,RRab,g,19.296399,0.026670,0.808485,-1.517274,0.479933,0.074355,0.021244,18.435312,0.825690
464454784,0.612592,RRab,g,19.379661,0.014674,14.368751,-1.126293,0.512522,0.082701,0.027314,18.319425,0.737051
464460378,0.340311,RRc,g,19.290417,0.044475,1.441429,-1.461482,0.344144,0.070561,0.029590,18.429401,0.812171
464461596,0.715997,RRab,g,19.025566,1.208804,8.098452,-2.122613,0.439843,0.057663,0.024279,18.348327,1.016032
464461656,0.351047,RRc,g,19.213688,0.015855,31.216581,-1.969198,0.343534,0.061456,0.024279,18.494614,0.952872
464468899,0.538214,RRab,g,19.338325,0.051373,12.362208,-1.606272,0.463479,0.084977,0.026555,18.466239,0.858823
464469303,0.524276,RRab,g,19.277846,0.011502,20.794906,-1.491992,0.530044,0.090288,0.037178,18.233606,0.831667
464470597,0.592127,RRab,g,19.274801,0.071030,0.191429,-1.743498,0.456967,0.088012,0.035660,18.539695,0.884815
464501920,0.633544,RRab,g,19.184014,0.015740,4.462830,-2.409089,0.391690,0.086494,0.024279,18.640086,1.100498
464504104,0.554040,RRab,g,19.768500,0.065375,0.260877,-1.208306,0.467985,0.078907,0.031108,18.489275,0.753986
464517046,0.543856,RRab,g,19.662791,0.139954,16.452776,-1.582773,0.417311,0.072078,0.023520,18.413046,0.843999
464521799,0.588301,RRab,g,19.233639,0.575144,0.966213,-1.854747,0.456262,0.075872,0.036419,18.474595,0.926925
464523050,0.392483,RRc,g,19.049604,0.011293,2.882192,-1.951360,0.367137,0.064491,0.019727,18.316473,0.954759
464523864,0.488974,RRab,g,19.591268,0.023337,201.283247,-1.614220,0.439309,0.074355,0.023520,18.510923,0.867247
464532276,0.658962,RRab,g,19.054027,0.968804,7.723313,-1.571340,0.464802,0.065250,0.033384,18.366789,0.861527
464550080,0.537477,RRab,g,18.465696,0.158189,0.175237,-1.789867,0.508803,0.066767,0.019727,18.802545,0.921383
464551308,0.620112,RRab,g,19.216622,0.013320,43.320019,-2.277998,0.513901,0.072837,0.034143,18.499340,1.051653
464555994,0.532588,RRab,g,19.309598,0.482856,4.417023,-1.774690,0.391653,0.075872,0.015933,18.528780,0.877490
464867772,0.602747,RRab,g,18.909921,0.038090,3.911770,-1.861610,0.440362,0.054628,0.022762,18.419145,0.926379
464973345,0.461207,RRab,g,19.926414,0.034537,0.156584,-1.150497,0.402212,0.065250,0.025797,18.508816,0.743075
464973763,0.632896,RRab,g,19.442877,0.013878,16.171061,-1.932587,0.465984,0.049317,0.034901,18.606828,0.961113
464973883,0.606125,RRab,g,19.274498,0.017694,10.580783,-1.791185,0.448006,0.055386,0.023520,18.597546,0.892180
464974674,0.720694,RRab,g,18.921879,0.006788,17.361009,-2.745303,0.410000,0.061456,0.034143,18.355070,1.213074
464977665,0.348010,RRc,g,19.211230,0.014330,8.866593,-1.739626,0.339667,0.054628,0.025797,18.500253,0.887126
464978546,0.572121,RRab,g,19.346268,0.012261,4.851569,-1.613907,0.442768,0.060698,0.022762,18.548768,0.878412
464979347,0.627951,RRab,g,19.460283,0.038670,0.371480,-1.468900,0.540115,0.058421,0.031108,18.588790,0.835019
464985966,0.512020,RRab,g,19.254552,2.146359,1.327092,-1.572103,0.450049,0.064491,0.034143,18.395645,0.824337
464986302,0.684157,RRab,g,18.940608,0.026656,1.003537,-1.790740,0.647372,0.056904,0.021244,18.355344,0.930677
464991724,0.622893,RRab,g,18.464523,0.221403,1.722551,-1.091232,0.497316,0.060698,0.030349,18.149139,0.725959
465016521,0.481187,RRab,g,18.839517,0.019991,0.793845,-1.368253,0.510895,0.050075,0.032625,18.515407,0.779401
465064314,0.534139,RRab,g,19.401988,0.018630,6.446713,-1.047857,0.554147,0.069044,0.022762,18.301697,0.727034
465067047,0.600066,RRab,g,19.265409,0.057564,13.307447,-1.624075,0.613338,0.069802,0.024279,18.451457,0.869315
465067578,0.582257,RRab,g,18.463741,4.114689,0.148792,-1.305518,0.514278,0.070561,0.030349,18.341547,0.781323
465069983,0.557778,RRab,g,19.377133,0.458087,3.013707,-1.513954,0.448838,0.066009,0.030349,18.518356,0.841974
465071080,0.750906,RRab,g,19.256345,0.057058,2.881401,-2.039047,0.471187,0.068285,0.027314,18.412753,0.982604
465102894,0.568635,RRab,g,19.398913,0.018190,0.873338,-1.794905,0.433840,0.053110,0.033384,18.421006,0.920463
465102921,0.556225,RRab,g,18.825907,0.117118,1.463067,-2.174053,0.399215,0.053110,0.033384,18.551434,1.018211
465110964,0.675300,RRab,g,19.111960,0.018875,2.745318,-1.700235,0.455482,0.067526,0.028073,18.353779,0.885840
465114477,0.491335,RRab,g,19.065587,0.210770,1.634840,-2.259130,0.466616,0.054628,0.030349,18.565514,1.058654
465115553,0.652823,RRab,g,19.155578,0.020128,4.208771,-1.564701,0.454045,0.056904,0.025797,18.449127,0.828492
465115961,0.570580,RRab,g,19.229999,0.065498,0.880076,-2.100865,0.727045,0.054628,0.030349,18.551050,1.038229
465132191,0.611400,RRab,g,19.081882,0.021112,6.353307,-1.882624,0.434146,0.072078,0.029590,18.446942,0.928894
465132677,0.382767,RRc,g,19.135200,0.101564,0.327961,-1.879156,0.356501,0.066767,0.033384,18.538181,0.919531
465132976,0.482288,RRab,g,19.232248,0.202569,0.333771,-1.440064,0.382454,0.066767,0.033384,18.557829,0.806671
465135550,0.234871,RRc,g,19.566686,0.034256,1.739941,-0.862106,0.316825,0.056145,0.035660,18.658354,0.650694
465138332,0.638576,RRab,g,19.365364,0.038388,1.493513,-1.290114,0.473161,0.050075,0.027314,18.414255,0.781484
465139771,0.535520,RRab,g,19.290297,0.167737,12.414693,-1.674115,0.379622,0.049317,0.028073,18.464094,0.854499
465145179,0.489092,RRab,g,19.124960,0.017744,35.738577,-1.079391,0.380994,0.049317,0.023520,18.453915,0.715883
465145940,0.362439,RRc,g,18.995355,0.057228,0.331962,-1.744588,0.349676,0.050075,0.027314,18.403986,0.880635
465148857,0.690394,RRab,g,19.070516,0.029354,0.152649,-1.704232,0.472974,0.051593,0.024279,18.390696,0.898653
465150276,0.308772,RRc,g,19.140860,0.066484,2.061225,-1.816015,0.343765,0.050075,0.031108,18.653735,0.898563
465151598,0.307909,RRc,g,19.343314,0.022861,2.252679,-1.345207,0.338784,0.047799,0.030349,18.447968,0.764491
465151957,0.594562,RRab,g,19.252614,0.009752,6.858661,-1.408752,0.411200,0.047799,0.030349,18.352836,0.790069
465154042,0.725352,RRab,g,19.142850,0.013599,4.140723,-2.154409,0.439728,0.049317,0.029590,18.363140,1.034848
465154187,0.754860,RRab,g,18.959681,0.642388,1.714028,-2.188974,0.447204,0.046282,0.025797,18.375611,1.035924
465158556,0.633680,RRab,g,18.303674,0.134251,0.948683,-1.501497,0.437879,0.051593,0.024279,18.454348,0.818257
491820258,0.348543,RRc,g,19.493537,0.021517,0.022512,-2.051731,0.388607,0.129742,0.028832,18.658980,0.982641
491821965,0.489018,RRab,g,19.732582,0.426368,0.004891,-1.771950,0.371010,0.144157,0.044765,18.720051,0.889244
491823133,0.599115,RRab,g,19.658346,0.176660,10.428402,-1.629562,0.455415,0.203338,0.043247,18.463495,0.854197
491824097,0.563384,RRab,g,19.644111,0.371412,0.413349,-2.091508,0.470442,0.148710,0.040212,18.670874,1.008356
491824421,0.588126,RRab,g,19.603993,0.020539,0.432952,-1.745752,0.459816,0.169195,0.043247,18.559068,0.902101
491830582,0.641621,RRab,g,19.177698,0.051678,0.507883,-2.107882,0.479230,0.090288,0.041730,18.468504,1.020826
491834681,0.534739,RRab,g,19.530880,0.136843,0.019125,-1.244895,0.501970,0.091047,0.036419,18.401550,0.772708
491836900,0.610880,RRab,g,19.503873,0.026542,0.008177,-1.622791,0.446969,0.092564,0.031866,18.529706,0.887991
491870891,0.611280,RRab,g,19.486496,0.045991,2.851724,-1.533433,0.430097,0.122154,0.031866,18.442635,0.846136
491872277,0.657734,RRab,g,19.619930,0.045213,4.264285,-2.121825,0.489749,0.103186,0.036419,18.659858,0.995440
491875336,0.516587,RRab,g,20.014576,0.314730,3.117072,-1.653519,0.514428,0.169195,0.049317,18.535694,0.877244
